volcano,lat,lon,v_alt,yyyy,mm,dd,type,vei,p_alt_obs,p_alt_est,so2(kt)
Sierra_Negra,-0.83,-91.17,1.49,1979,11,18,eff,3,3.0,-999.0,300.0
Sierra_Negra,-0.83,-91.17,1.49,1979,11,19,eff,3,10.0,-999.0,70.0
Sierra_Negra,-0.83,-91.17,1.49,1979,11,20,eff,3,3.0,-999.0,100.0
Sierra_Negra,-0.83,-91.17,1.49,1979,11,21,eff,3,2.0,-999.0,40.0
Sierra_Negra,-0.83,-91.17,1.49,1979,11,22,eff,3,8.0,-999.0,70.0
Sierra_Negra,-0.83,-91.17,1.49,1979,11,23,eff,3,7.0,-999.0,10.0
Sierra_Negra,-0.83,-91.17,1.49,1979,11,24,eff,3,9.0,-999.0,2.0
Sierra_Negra,-0.83,-91.17,1.49,1979,11,25,eff,3,2.0,-999.0,2.0
Sierra_Negra,-0.83,-91.17,1.49,1979,11,26,eff,3,2.0,-999.0,2.0
Sierra_Negra,-0.83,-91.17,1.49,1979,11,27,eff,3,2.0,-999.0,2.0
Sierra_Negra,-0.83,-91.17,1.49,1979,11,28,eff,3,2.0,-999.0,2.0
Sierra_Negra,-0.83,-91.17,1.49,1979,11,29,eff,3,2.0,-999.0,2.0
Sierra_Negra,-0.83,-91.17,1.49,1979,11,30,eff,3,2.0,-999.0,2.0
Sierra_Negra,-0.83,-91.17,1.49,1979,12,1,eff,3,2.0,-999.0,2.0
Sierra_Negra,-0.83,-91.17,1.49,1979,12,2,eff,3,2.0,-999.0,2.0
Sierra_Negra,-0.83,-91.17,1.49,1979,12,3,eff,3,2.0,-999.0,2.0
Sierra_Negra,-0.83,-91.17,1.49,1979,12,4,eff,3,2.0,-999.0,2.0
Sierra_Negra,-0.83,-91.17,1.49,1979,12,5,eff,3,2.0,-999.0,2.0
Sierra_Negra,-0.83,-91.17,1.49,1979,12,6,eff,3,2.0,-999.0,2.0
Sierra_Negra,-0.83,-91.17,1.49,1979,12,7,eff,3,2.0,-999.0,2.0
Sierra_Negra,-0.83,-91.17,1.49,1979,12,8,eff,3,2.0,-999.0,2.0
Sierra_Negra,-0.83,-91.17,1.49,1979,12,9,eff,3,2.0,-999.0,2.0
Sierra_Negra,-0.83,-91.17,1.49,1979,12,10,eff,3,2.0,-999.0,2.0
Sierra_Negra,-0.83,-91.17,1.49,1979,12,11,eff,3,2.0,-999.0,2.0
Sierra_Negra,-0.83,-91.17,1.49,1979,12,12,eff,3,2.0,-999.0,2.0
Sierra_Negra,-0.83,-91.17,1.49,1979,12,13,eff,3,2.0,-999.0,2.0
Sierra_Negra,-0.83,-91.17,1.49,1979,12,14,eff,3,2.0,-999.0,2.0
Sierra_Negra,-0.83,-91.17,1.49,1979,12,15,eff,3,2.0,-999.0,2.0
Nyamuragira,-1.408,29.2,3.058,1980,1,31,eff,3,8.0,-999.0,135.0
Nyamuragira,-1.408,29.2,3.058,1980,2,1,eff,3,7.0,-999.0,23.0
Nyamuragira,-1.408,29.2,3.058,1980,2,2,eff,3,8.0,-999.0,42.0
Nyamuragira,-1.408,29.2,3.058,1980,2,3,eff,3,10.0,-999.0,49.0
Nyamuragira,-1.408,29.2,3.058,1980,2,4,eff,3,8.0,-999.0,93.0
Nyamuragira,-1.408,29.2,3.058,1980,2,5,eff,3,8.0,-999.0,106.0
Nyamuragira,-1.408,29.2,3.058,1980,2,6,eff,3,8.0,-999.0,74.0
Nyamuragira,-1.408,29.2,3.058,1980,2,7,eff,3,5.0,-999.0,104.0
Nyamuragira,-1.408,29.2,3.058,1980,2,8,eff,3,4.0,-999.0,42.0
Nyamuragira,-1.408,29.2,3.058,1980,2,9,eff,3,4.0,-999.0,46.0
Nyamuragira,-1.408,29.2,3.058,1980,2,10,eff,3,4.0,-999.0,62.0
Nyamuragira,-1.408,29.2,3.058,1980,2,11,eff,3,10.0,-999.0,60.0
Nyamuragira,-1.408,29.2,3.058,1980,2,12,eff,3,6.0,-999.0,48.0
Makushin,53.9,-166.93,2.036,1980,5,1,exp,1,-999.0,12.036,10.0
Mt_St_Helens,46.2,-122.18,2.549,1980,5,18,exp,5,27.0,-999.0,775.0
Mt_St_Helens,46.2,-122.18,2.549,1980,5,25,exp,3,14.0,-999.0,100.0
Mt_St_Helens,46.2,-122.18,2.549,1980,6,13,exp,3,16.0,-999.0,35.0
Krafla,65.73,-16.78,0.818,1980,7,11,eff,0,-999.0,5.818,250.0
Hekla,63.98,-19.7,1.491,1980,8,18,eff,3,15.0,-999.0,460.0
Lopevi,-16.507,168.346,1.413,1980,8,18,exp,3,-999.0,11.413,38.0
Etna,37.734,15.004,3.35,1980,9,2,exp,3,9.0,-999.0,61.0
Etna,37.734,15.004,3.35,1980,9,6,exp,2,-999.0,13.35,9.0
Ulawun,-5.05,151.33,2.334,1980,10,7,exp,3,20.0,-999.0,200.0
Krafla,65.73,-16.78,0.818,1980,10,19,eff,0,-999.0,5.818,60.0
Hekla,63.98,-19.7,1.491,1981,4,9,eff,2,7.0,-999.0,10.0
Alaid,50.858,155.55,2.339,1981,4,27,exp,4,15.0,-999.0,1100.0
Alaid,50.858,155.55,2.339,1981,5,8,exp,2,-999.0,12.339,10.0
Pagan,18.13,145.8,0.57,1981,5,15,exp,4,20.0,-999.0,320.0
Bezymianny,55.978,160.587,2.882,1981,6,13,exp,3,8.0,-999.0,10.0
Nyamuragira,-1.408,29.2,3.058,1981,12,25,eff,3,8.0,-999.0,200.0
Nyamuragira,-1.408,29.2,3.058,1981,12,26,eff,3,14.0,-999.0,1660.0
Nyamuragira,-1.408,29.2,3.058,1981,12,27,eff,3,15.0,-999.0,235.0
Nyamuragira,-1.408,29.2,3.058,1981,12,28,eff,3,15.0,-999.0,706.0
Nyamuragira,-1.408,29.2,3.058,1981,12,29,eff,3,14.0,-999.0,284.0
Nyamuragira,-1.408,29.2,3.058,1981,12,30,eff,3,14.0,-999.0,361.0
Nyamuragira,-1.408,29.2,3.058,1981,12,31,eff,3,12.0,-999.0,176.0
Nyamuragira,-1.408,29.2,3.058,1982,1,1,eff,3,12.0,-999.0,78.0
Nyamuragira,-1.408,29.2,3.058,1982,1,2,eff,3,14.0,-999.0,94.0
Nyamuragira,-1.408,29.2,3.058,1982,1,3,eff,3,15.0,-999.0,117.0
Nyamuragira,-1.408,29.2,3.058,1982,1,4,eff,3,14.0,-999.0,84.0
Nyamuragira,-1.408,29.2,3.058,1982,1,5,eff,3,11.0,-999.0,32.0
Nyamuragira,-1.408,29.2,3.058,1982,1,6,eff,3,10.0,-999.0,30.0
Nyamuragira,-1.408,29.2,3.058,1982,1,7,eff,3,7.0,-999.0,29.0
Nyamuragira,-1.408,29.2,3.058,1982,1,8,eff,3,6.0,-999.0,28.0
Nyamuragira,-1.408,29.2,3.058,1982,1,10,eff,3,8.0,-999.0,8.0
El_Chichon,17.36,-93.228,1.06,1982,3,29,exp,4,17.0,-999.0,750.0
El_Chichon,17.36,-93.228,1.06,1982,4,3,exp,4,17.0,-999.0,340.0
El_Chichon,17.36,-93.228,1.06,1982,4,4,exp,5,28.0,-999.0,7000.0
Galunggung,-7.25,108.058,2.168,1982,4,5,exp,3,15.0,-999.0,10.0
Galunggung,-7.25,108.058,2.168,1982,4,8,exp,3,-999.0,12.168,85.0
Galunggung,-7.25,108.058,2.168,1982,4,21,exp,3,-999.0,12.168,25.0
Galunggung,-7.25,108.058,2.168,1982,4,24,exp,3,18.0,-999.0,100.0
Galunggung,-7.25,108.058,2.168,1982,5,5,exp,3,16.0,-999.0,100.0
Galunggung,-7.25,108.058,2.168,1982,5,17,exp,4,16.0,-999.0,100.0
Galunggung,-7.25,108.058,2.168,1982,5,17,exp,3,16.0,-999.0,45.0
Galunggung,-7.25,108.058,2.168,1982,5,18,exp,3,16.0,-999.0,45.0
Galunggung,-7.25,108.058,2.168,1982,6,3,exp,3,-999.0,12.168,220.0
Galunggung,-7.25,108.058,2.168,1982,6,24,exp,3,14.0,-999.0,430.0
Galunggung,-7.25,108.058,2.168,1982,7,13,exp,3,16.0,-999.0,355.0
Galunggung,-7.25,108.058,2.168,1982,7,15,exp,3,15.0,-999.0,45.0
Galunggung,-7.25,108.058,2.168,1982,7,16,exp,3,-999.0,12.168,20.0
Galunggung,-7.25,108.058,2.168,1982,7,17,exp,3,-999.0,12.168,20.0
Galunggung,-7.25,108.058,2.168,1982,8,15,exp,3,14.0,-999.0,10.0
Galunggung,-7.25,108.058,2.168,1982,8,25,exp,3,-999.0,12.168,15.0
Soputan,1.108,124.725,1.784,1982,8,27,exp,3,15.0,-999.0,90.0
Galunggung,-7.25,108.058,2.168,1982,8,27,exp,3,10.0,-999.0,20.0
Galunggung,-7.25,108.058,2.168,1982,8,29,exp,3,-999.0,12.168,10.0
Wolf,0.02,-91.35,1.71,1982,8,29,eff,1,4.0,-999.0,300.0
Galunggung,-7.25,108.058,2.168,1982,8,30,exp,3,-999.0,12.168,15.0
Wolf,0.02,-91.35,1.71,1982,8,30,eff,1,4.0,-999.0,200.0
Wolf,0.02,-91.35,1.71,1982,8,31,eff,1,2.0,-999.0,40.0
Galunggung,-7.25,108.058,2.168,1982,9,1,exp,3,14.0,-999.0,15.0
Wolf,0.02,-91.35,1.71,1982,9,1,eff,1,4.0,-999.0,50.0
Wolf,0.02,-91.35,1.71,1982,9,2,eff,1,2.0,-999.0,80.0
Wolf,0.02,-91.35,1.71,1982,9,3,eff,1,3.0,-999.0,90.0
Galunggung,-7.25,108.058,2.168,1982,9,4,exp,3,-999.0,12.168,10.0
Wolf,0.02,-91.35,1.71,1982,9,4,eff,1,11.0,-999.0,70.0
Wolf,0.02,-91.35,1.71,1982,9,5,eff,1,2.0,-999.0,40.0
Wolf,0.02,-91.35,1.71,1982,9,6,eff,1,3.0,-999.0,100.0
Wolf,0.02,-91.35,1.71,1982,9,7,eff,1,2.0,-999.0,100.0
Wolf,0.02,-91.35,1.71,1982,9,8,eff,1,2.0,-999.0,10.0
Galunggung,-7.25,108.058,2.168,1982,9,14,exp,3,-999.0,12.168,10.0
Galunggung,-7.25,108.058,2.168,1982,9,16,exp,3,-999.0,12.168,10.0
Galunggung,-7.25,108.058,2.168,1982,9,18,exp,3,4.0,-999.0,15.0
Cameroon,4.203,9.17,4.095,1982,10,18,eff,2,-999.0,9.095,3.0
Lopevi,-16.507,168.346,1.413,1982,10,25,exp,2,-999.0,11.413,27.0
Soputan,1.108,124.725,1.784,1982,11,10,exp,3,-999.0,11.784,13.0
Kilauea,19.421,-155.287,1.222,1983,3,29,eff,1,-999.0,5.222,1.0
Grimsvotn,64.42,-17.33,1.725,1983,5,29,exp,2,8.0,-999.0,10.0
Kilauea,19.421,-155.287,1.222,1983,7,3,eff,1,-999.0,5.222,5.5
Kilauea,19.421,-155.287,1.222,1983,7,21,eff,1,-999.0,5.222,11.0
Colo,-0.17,121.608,0.507,1983,7,24,exp,4,15.0,-999.0,200.0
Kilauea,19.421,-155.287,1.222,1983,9,6,eff,1,-999.0,5.222,2.8
Kilauea,19.421,-155.287,1.222,1983,9,15,eff,1,-999.0,5.222,9.8
Kilauea,19.421,-155.287,1.222,1983,10,5,eff,1,-999.0,5.222,11.6
Kilauea,19.421,-155.287,1.222,1983,11,5,eff,1,-999.0,5.222,31.8
Pavlof,55.42,-161.9,2.519,1983,11,15,exp,3,7.5,-999.0,50.0
Kilauea,19.421,-155.287,1.222,1983,11,29,eff,1,-999.0,5.222,14.5
Kilauea,19.421,-155.287,1.222,1984,1,30,eff,1,-999.0,5.222,24.4
Kilauea,19.421,-155.287,1.222,1984,2,14,eff,1,-999.0,5.222,27.4
Nyamuragira,-1.408,29.2,3.058,1984,2,23,eff,2,5.0,-999.0,384.0
Nyamuragira,-1.408,29.2,3.058,1984,2,24,eff,2,6.0,-999.0,258.0
Nyamuragira,-1.408,29.2,3.058,1984,2,25,eff,2,6.0,-999.0,74.0
Nyamuragira,-1.408,29.2,3.058,1984,2,26,eff,2,5.0,-999.0,34.0
Nyamuragira,-1.408,29.2,3.058,1984,2,27,eff,2,6.0,-999.0,77.0
Nyamuragira,-1.408,29.2,3.058,1984,2,28,eff,2,5.0,-999.0,54.0
Nyamuragira,-1.408,29.2,3.058,1984,2,29,eff,2,7.0,-999.0,24.0
Nyamuragira,-1.408,29.2,3.058,1984,3,1,eff,2,7.0,-999.0,24.0
Nyamuragira,-1.408,29.2,3.058,1984,3,2,eff,2,6.0,-999.0,32.0
Nyamuragira,-1.408,29.2,3.058,1984,3,3,eff,2,5.0,-999.0,39.0
Kilauea,19.421,-155.287,1.222,1984,3,4,eff,1,-999.0,5.222,13.5
Mauna_Loa,19.475,-155.608,4.17,1984,3,25,eff,0,11.0,-999.0,91.0
Mauna_Loa,19.475,-155.608,4.17,1984,3,26,eff,0,11.0,-999.0,185.0
Mauna_Loa,19.475,-155.608,4.17,1984,3,27,eff,0,5.0,-999.0,196.0
Mauna_Loa,19.475,-155.608,4.17,1984,3,28,eff,0,5.0,-999.0,127.0
Mauna_Loa,19.475,-155.608,4.17,1984,3,29,eff,0,5.0,-999.0,72.0
Mauna_Loa,19.475,-155.608,4.17,1984,3,30,eff,0,5.0,-999.0,85.0
Mauna_Loa,19.475,-155.608,4.17,1984,3,31,eff,0,5.0,-999.0,148.0
Fernandina,-0.37,-91.55,1.495,1984,3,31,eff,1,5.0,-999.0,50.0
Mauna_Loa,19.475,-155.608,4.17,1984,4,1,eff,0,5.0,-999.0,34.0
Fernandina,-0.37,-91.55,1.495,1984,4,1,eff,1,3.0,-999.0,100.0
Mauna_Loa,19.475,-155.608,4.17,1984,4,2,eff,0,5.0,-999.0,49.0
Fernandina,-0.37,-91.55,1.495,1984,4,2,eff,1,6.0,-999.0,60.0
Mauna_Loa,19.475,-155.608,4.17,1984,4,3,eff,0,5.0,-999.0,59.0
Fernandina,-0.37,-91.55,1.495,1984,4,3,eff,1,5.0,-999.0,80.0
Mauna_Loa,19.475,-155.608,4.17,1984,4,4,eff,0,5.0,-999.0,11.0
Mauna_Loa,19.475,-155.608,4.17,1984,4,5,eff,0,5.0,-999.0,10.0
Mauna_Loa,19.475,-155.608,4.17,1984,4,6,eff,0,5.0,-999.0,25.0
Mauna_Loa,19.475,-155.608,4.17,1984,4,7,eff,0,5.0,-999.0,27.0
Mauna_Loa,19.475,-155.608,4.17,1984,4,8,eff,0,5.0,-999.0,43.0
Mauna_Loa,19.475,-155.608,4.17,1984,4,9,eff,0,5.0,-999.0,16.0
Mauna_Loa,19.475,-155.608,4.17,1984,4,10,eff,0,5.0,-999.0,19.0
Kilauea,19.421,-155.287,1.222,1984,4,18,eff,1,-999.0,5.222,29.8
Soputan,1.108,124.725,1.784,1984,5,24,exp,3,16.0,-999.0,166.0
Kilauea,19.421,-155.287,1.222,1984,6,7,eff,1,-999.0,5.222,30.2
Kilauea,19.421,-155.287,1.222,1984,6,30,eff,1,-999.0,5.222,48.9
Kilauea,19.421,-155.287,1.222,1984,7,8,eff,1,-999.0,5.222,31.9
Kilauea,19.421,-155.287,1.222,1984,7,28,eff,1,-999.0,5.222,29.8
Kilauea,19.421,-155.287,1.222,1984,8,19,eff,1,-999.0,5.222,45.9
Soputan,1.108,124.725,1.784,1984,8,31,exp,3,-999.0,11.784,26.0
Krafla,65.73,-16.78,0.818,1984,9,5,eff,0,-999.0,5.818,375.0
Mayon,13.257,123.685,2.462,1984,9,13,exp,3,-999.0,12.462,50.0
Kilauea,19.421,-155.287,1.222,1984,9,19,eff,1,-999.0,5.222,37.9
Bezymianny,55.978,160.587,2.882,1984,10,13,exp,3,9.0,-999.0,10.0
Kilauea,19.421,-155.287,1.222,1984,11,2,eff,1,-999.0,5.222,15.2
Kilauea,19.421,-155.287,1.222,1984,11,19,eff,1,-999.0,5.222,46.0
Kilauea,19.421,-155.287,1.222,1984,12,3,eff,1,-999.0,5.222,78.1
Kilauea,19.421,-155.287,1.222,1985,1,3,eff,1,-999.0,5.222,47.9
Heard,-53.106,73.513,2.745,1985,1,14,eff,2,-999.0,7.745,10.0
Kilauea,19.421,-155.287,1.222,1985,2,4,eff,1,-999.0,5.222,48.5
Canlaon,10.412,123.132,2.435,1985,3,14,exp,1,-999.0,12.435,10.0
Kilauea,19.421,-155.287,1.222,1985,4,21,eff,1,-999.0,5.222,72.7
Soputan,1.108,124.725,1.784,1985,5,20,exp,2,-999.0,11.784,12.0
Bezymianny,55.978,160.587,2.882,1985,7,1,exp,3,-999.0,12.882,10.0
Kilauea,19.421,-155.287,1.222,1985,6,12,eff,1,-999.0,5.222,30.8
Kilauea,19.421,-155.287,1.222,1985,7,6,eff,1,-999.0,5.222,33.1
Kilauea,19.421,-155.287,1.222,1985,7,26,eff,1,-999.0,5.222,17.9
Kilauea,19.421,-155.287,1.222,1985,9,2,eff,1,-999.0,5.222,57.7
Ruiz,4.895,-75.323,5.321,1985,9,12,exp,2,15.0,-999.0,90.0
Kilauea,19.421,-155.287,1.222,1985,9,24,eff,1,-999.0,5.222,35.3
Kilauea,19.421,-155.287,1.222,1985,10,21,eff,1,-999.0,5.222,23.9
Kilauea,19.421,-155.287,1.222,1985,11,13,eff,1,-999.0,5.222,11.0
Ruiz,4.895,-75.323,5.321,1985,11,14,exp,3,25.0,-999.0,660.0
Ulawun,-5.05,151.33,2.334,1985,11,20,exp,3,8.0,-999.0,70.0
Kilauea,19.421,-155.287,1.222,1986,1,1,eff,1,-999.0,5.222,7.9
Fukutoku_Okanoba,24.285,141.481,-0.029,1986,1,20,exp,2,4.0,-999.0,5.0
Kilauea,19.421,-155.287,1.222,1986,1,27,eff,1,-999.0,5.222,25.0
Kilauea,19.421,-155.287,1.222,1986,2,22,eff,1,-999.0,5.222,37.4
Kilauea,19.421,-155.287,1.222,1986,3,22,eff,1,-999.0,5.222,5.4
Augustine,59.37,-153.42,1.252,1986,3,27,exp,4,15.0,-999.0,20.0
Kilauea,19.421,-155.287,1.222,1986,4,13,eff,1,-999.0,5.222,24.2
Pavlof,55.42,-161.9,2.519,1986,4,19,exp,3,16.0,-999.0,70.0
Kilauea,19.421,-155.287,1.222,1986,5,7,eff,1,-999.0,5.222,36.2
Kilauea,19.421,-155.287,1.222,1986,6,2,eff,1,-999.0,5.222,48.0
Kilauea,19.421,-155.287,1.222,1986,6,26,eff,1,-999.0,5.222,37.2
Nyamuragira,-1.408,29.2,3.058,1986,7,16,eff,2,9.0,-999.0,295.0
Nyamuragira,-1.408,29.2,3.058,1986,7,17,eff,2,5.0,-999.0,246.0
Nyamuragira,-1.408,29.2,3.058,1986,7,18,eff,2,6.0,-999.0,117.0
Nyamuragira,-1.408,29.2,3.058,1986,7,19,eff,2,9.0,-999.0,28.0
Nyamuragira,-1.408,29.2,3.058,1986,7,20,eff,2,5.0,-999.0,57.0
Nyamuragira,-1.408,29.2,3.058,1986,7,21,eff,2,6.0,-999.0,42.0
Nyamuragira,-1.408,29.2,3.058,1986,7,22,eff,2,6.0,-999.0,22.0
Nyamuragira,-1.408,29.2,3.058,1986,7,23,eff,2,8.0,-999.0,29.0
Nyamuragira,-1.408,29.2,3.058,1986,7,24,eff,2,8.0,-999.0,23.0
Nyamuragira,-1.408,29.2,3.058,1986,7,25,eff,2,8.0,-999.0,71.0
Nyamuragira,-1.408,29.2,3.058,1986,7,26,eff,2,5.0,-999.0,19.0
Nyamuragira,-1.408,29.2,3.058,1986,7,27,eff,2,7.0,-999.0,14.0
Nyamuragira,-1.408,29.2,3.058,1986,8,1,eff,2,7.0,-999.0,5.0
Nyamuragira,-1.408,29.2,3.058,1986,8,2,eff,2,6.0,-999.0,15.0
Ambrym,-16.25,168.12,1.334,1986,11,15,exp,2,-999.0,11.334,10.0
Oshima,34.73,139.38,0.758,1986,11,19,exp,3,-999.0,10.758,22.0
Chikurachki,50.325,155.458,1.816,1986,11,20,exp,3,11.0,-999.0,500.0
Etna,37.734,15.004,3.35,1986,11,30,eff,2,-999.0,8.35,10.0
Chikurachki,50.325,155.458,1.816,1986,12,2,exp,3,11.0,-999.0,250.0
Kliuchevskoi,56.057,160.638,4.835,1987,2,19,exp,3,9.0,-999.0,10.0
Nyamuragira,-1.408,29.2,3.058,1987,12,31,eff,1,4.0,-999.0,24.0
Nyamuragira,-1.408,29.2,3.058,1988,1,1,eff,1,4.0,-999.0,4.0
Banda_Api,-4.525,129.871,0.64,1988,5,9,exp,3,16.0,-999.0,250.0
Makian,0.32,127.4,1.357,1988,7,29,exp,3,16.0,-999.0,50.0
Fernandina,-0.37,-91.55,1.495,1988,9,14,eff,2,9.0,-999.0,90.0
Fernandina,-0.37,-91.55,1.495,1988,9,15,eff,2,2.0,-999.0,90.0
Fernandina,-0.37,-91.55,1.495,1988,9,16,eff,2,13.0,-999.0,90.0
Fernandina,-0.37,-91.55,1.495,1988,9,17,eff,2,2.0,-999.0,10.0
Lonquimay,-38.377,-71.58,2.865,1989,1,12,eff,3,6.0,-999.0,10.0
Pacaya,14.381,-90.601,2.552,1989,3,9,exp,3,3.0,-999.0,1.0
Ambrym,-16.25,168.12,1.334,1989,4,24,exp,2,-999.0,11.334,25.0
Nyamuragira,-1.408,29.2,3.058,1989,4,24,eff,3,6.0,-999.0,2.0
Nyamuragira,-1.408,29.2,3.058,1989,4,25,eff,3,6.0,-999.0,70.0
Nyamuragira,-1.408,29.2,3.058,1989,4,26,eff,3,6.0,-999.0,73.0
Nyamuragira,-1.408,29.2,3.058,1989,4,27,eff,3,6.0,-999.0,265.0
Nyamuragira,-1.408,29.2,3.058,1989,4,28,eff,3,6.0,-999.0,280.0
Nyamuragira,-1.408,29.2,3.058,1989,4,29,eff,3,6.0,-999.0,250.0
Nyamuragira,-1.408,29.2,3.058,1989,4,30,eff,3,7.0,-999.0,237.0
Nyamuragira,-1.408,29.2,3.058,1989,5,1,eff,3,7.0,-999.0,70.0
Nyamuragira,-1.408,29.2,3.058,1989,5,2,eff,3,7.0,-999.0,27.0
Nyamuragira,-1.408,29.2,3.058,1989,5,3,eff,3,7.0,-999.0,4.0
Nyamuragira,-1.408,29.2,3.058,1989,5,4,eff,3,8.0,-999.0,29.0
Nyamuragira,-1.408,29.2,3.058,1989,5,5,eff,3,6.0,-999.0,120.0
Nyamuragira,-1.408,29.2,3.058,1989,5,6,eff,3,6.0,-999.0,182.0
Nyamuragira,-1.408,29.2,3.058,1989,5,7,eff,3,4.0,-999.0,55.0
Nyamuragira,-1.408,29.2,3.058,1989,5,8,eff,3,6.0,-999.0,6.0
Nyamuragira,-1.408,29.2,3.058,1989,5,9,eff,3,6.0,-999.0,6.0
Nyamuragira,-1.408,29.2,3.058,1989,5,10,eff,3,8.0,-999.0,58.0
Nyamuragira,-1.408,29.2,3.058,1989,5,11,eff,3,8.0,-999.0,50.0
Nyamuragira,-1.408,29.2,3.058,1989,5,12,eff,3,8.0,-999.0,56.0
Nyamuragira,-1.408,29.2,3.058,1989,5,13,eff,3,8.0,-999.0,23.0
Nyamuragira,-1.408,29.2,3.058,1989,5,14,eff,3,8.0,-999.0,51.0
Nyamuragira,-1.408,29.2,3.058,1989,5,15,eff,3,8.0,-999.0,77.0
Nyamuragira,-1.408,29.2,3.058,1989,5,16,eff,3,7.0,-999.0,50.0
Nyamuragira,-1.408,29.2,3.058,1989,5,17,eff,3,8.0,-999.0,33.0
Nyamuragira,-1.408,29.2,3.058,1989,5,18,eff,3,5.0,-999.0,31.0
Ruiz,4.895,-75.323,5.321,1989,9,1,exp,2,-999.0,15.321,12.0
Etna,37.734,15.004,3.35,1989,9,19,eff,2,-999.0,8.35,5.0
Etna,37.734,15.004,3.35,1989,9,24,eff,2,-999.0,8.35,5.0
Etna,37.734,15.004,3.35,1989,9,25,eff,2,-999.0,8.35,7.0
Etna,37.734,15.004,3.35,1989,9,28,eff,2,-999.0,8.35,5.0
Etna,37.734,15.004,3.35,1989,10,1,eff,2,-999.0,8.35,5.0
Etna,37.734,15.004,3.35,1989,10,2,eff,2,-999.0,8.35,5.0
Etna,37.734,15.004,3.35,1989,10,3,eff,2,-999.0,8.35,5.0
Redoubt,60.48,-152.75,3.108,1989,12,15,exp,3,12.0,-999.0,140.0
Etna,37.734,15.004,3.35,1990,1,15,exp,2,-999.0,8.35,10.0
Kliuchevskoi,56.057,160.638,4.835,1990,1,30,exp,3,10.0,-999.0,10.0
Kelut,-7.93,112.308,1.731,1990,2,11,exp,4,20.0,-999.0,150.0
Redoubt,60.48,-152.75,3.108,1990,3,9,exp,3,-999.0,13.108,16.0
Hekla,63.98,-19.7,1.491,1991,1,20,eff,3,-999.0,6.491,230.0
Fernandina,-0.37,-91.55,1.495,1991,4,20,eff,2,8.0,-999.0,300.0
Fernandina,-0.37,-91.55,1.495,1991,4,21,eff,2,5.0,-999.0,100.0
Fernandina,-0.37,-91.55,1.495,1991,4,22,eff,2,9.0,-999.0,90.0
Fernandina,-0.37,-91.55,1.495,1991,4,23,eff,2,8.0,-999.0,90.0
Pinatubo,15.13,120.35,1.486,1991,6,13,exp,4,19.0,-999.0,140.0
Pinatubo,15.13,120.35,1.486,1991,6,14,exp,4,25.0,-999.0,54.0
Pinatubo,15.13,120.35,1.486,1991,6,15,exp,6,25.0,-999.0,15000.0
Hudson,-45.9,-72.97,1.905,1991,8,9,exp,3,12.0,-999.0,700.0
Hudson,-45.9,-72.97,1.905,1991,8,12,exp,5,16.0,-999.0,600.0
Hudson,-45.9,-72.97,1.905,1991,8,15,exp,5,18.0,-999.0,2700.0
Nyamuragira,-1.408,29.2,3.058,1991,9,22,eff,3,4.0,-999.0,27.0
Nyamuragira,-1.408,29.2,3.058,1991,9,23,eff,3,4.0,-999.0,24.0
Nyamuragira,-1.408,29.2,3.058,1991,9,24,eff,3,3.0,-999.0,33.0
